Date,avg_fwd_r5,hit_rate,strategy
2016-01-08,-0.032904010499121485,0.0,random
2016-01-11,-0.022171418484915262,0.0,random
2016-01-12,-0.020187834585261986,0.0,random
2016-01-13,-0.0075840659637681496,0.2,random
2016-01-14,-0.037866733000192276,0.2,random
2016-01-15,-0.009505430609633936,0.2,random
2016-01-19,0.0197048277831658,0.8,random
2016-01-20,0.020180253155677775,0.8,random
2016-01-21,-0.012161413782907382,0.6,random
2016-01-22,0.013570388307944681,0.6,random
2016-01-25,0.013427743812401815,0.8,random
2016-01-26,-0.009933702049667148,0.4,random
2016-01-27,0.018076437812594624,0.6,random
2016-01-28,0.015253650470157698,0.6,random
2016-01-29,-0.009928968548014061,0.2,random
2016-02-01,-0.02973415385852025,0.2,random
2016-02-02,-0.04660983899428632,0.2,random
2016-02-03,-0.03256990137726164,0.2,random
2016-02-04,-0.03989787789755912,0.0,random
2016-02-05,0.0021971614952958074,0.2,random
2016-02-08,0.03779896590783298,0.6,random
2016-02-09,0.04633214425238652,0.8,random
2016-02-10,0.03140187835779198,1.0,random
2016-02-11,0.05597995094610266,1.0,random
2016-02-12,0.037101731883614916,0.8,random
2016-02-16,0.029449456438299305,1.0,random
2016-02-17,-0.002947131042881956,0.4,random
2016-02-18,0.01467570537947398,1.0,random
2016-02-19,0.01781225948668972,0.8,random
2016-02-22,0.0021610220307956007,0.6,random
2016-02-23,0.03769322575427521,1.0,random
2016-02-24,0.030379354393817715,0.8,random
2016-02-25,0.025843846827589934,1.0,random
2016-02-26,0.03816672785414101,1.0,random
2016-02-29,0.046537381586672796,1.0,random
2016-03-01,-0.010374781582729864,0.2,random
2016-03-02,0.023496140178318026,0.8,random
2016-03-03,0.014836868965766192,0.8,random
2016-03-04,0.002955726893187416,0.4,random
2016-03-07,0.007610366580926287,0.6,random
2016-03-08,0.025003911924175747,1.0,random
2016-03-09,0.013784136966429439,0.8,random
2016-03-10,0.02493415192489832,1.0,random
2016-03-11,0.023831803082836167,1.0,random
2016-03-14,0.015440366979679298,0.8,random
2016-03-15,0.017024456663456578,1.0,random
2016-03-16,0.005951555314470625,0.8,random
2016-03-17,0.002953912503572953,0.6,random
2016-03-18,-0.017277024693492394,0.0,random
2016-03-21,-0.0054603753749834505,0.4,random
2016-03-22,0.011153707744765096,0.8,random
2016-03-23,0.009466350479727414,0.4,random
2016-03-24,0.017385289555317884,0.8,random
2016-03-28,0.020271672454114188,1.0,random
2016-03-29,-0.004058262003194457,0.4,random
2016-03-30,-0.001986523915424132,0.4,random
2016-03-31,-0.00890606498987374,0.2,random
2016-04-01,-0.018664105751966264,0.0,random
2016-04-04,-0.014091999450770087,0.0,random
2016-04-05,0.007457881593847393,0.6,random
2016-04-06,0.005767774862101871,0.8,random
2016-04-07,0.023106291809490954,1.0,random
2016-04-08,0.017866991665507738,1.0,random
2016-04-11,0.031560420351002705,1.0,random
2016-04-12,0.03151086202536528,1.0,random
2016-04-13,-0.0012839110651811537,0.6,random
2016-04-14,0.016329526921725623,1.0,random
2016-04-15,0.012908344933276061,0.4,random
2016-04-18,-0.02520726602740735,0.2,random
2016-04-19,-0.01120374119891394,0.2,random
2016-04-20,-0.0043939915184594055,0.6,random
2016-04-21,-0.003979831951344282,0.2,random
2016-04-22,-0.010006714154679885,0.2,random
2016-04-25,0.0025159422426177967,0.6,random
2016-04-26,-0.04011536751449418,0.0,random
2016-04-27,-0.03033907174263606,0.0,random
2016-04-28,0.0010328437381955657,0.8,random
2016-04-29,0.0003209025851921954,0.4,random
2016-05-02,-0.0058469693969505744,0.4,random
2016-05-03,0.010214162382767355,0.6,random
2016-05-04,-0.001462498414170299,0.4,random
2016-05-05,-0.006431292747003559,0.4,random
2016-05-06,-0.015405332466864374,0.2,random
2016-05-09,-0.00424897495562393,0.4,random
2016-05-10,-0.023484484624850754,0.0,random
2016-05-11,-0.021235513272921436,0.0,random
2016-05-12,-0.025426742268670543,0.0,random
2016-05-13,-0.0028359815038129454,0.4,random
2016-05-16,-0.01728473241438202,0.4,random
2016-05-17,0.023167755411510747,1.0,random
2016-05-18,0.04249087256658588,1.0,random
2016-05-19,0.02526900011164237,1.0,random
2016-05-20,0.026819929636267135,1.0,random
2016-05-23,0.03169766015447926,1.0,random
2016-05-24,0.0160585244027327,0.8,random
2016-05-25,0.010189380170424322,0.8,random
2016-05-26,-0.00881895824015817,0.6,random
2016-05-27,0.0015153621717743926,0.6,random
2016-05-31,0.012866201304401326,0.6,random
2016-06-01,0.007728415005593803,0.6,random
2016-06-02,0.006525979998942577,0.4,random
2016-06-03,0.014707658085304009,0.6,random
2016-06-06,-0.005723367690235337,0.2,random
2016-06-07,-0.03213264901317543,0.2,random
2016-06-08,-0.012308855380399964,0.2,random
2016-06-09,-0.020192203835181964,0.0,random
2016-06-10,-0.010849098943444924,0.2,random
2016-06-13,0.0031902444952020435,0.6,random
2016-06-14,0.014642135678396695,1.0,random
2016-06-15,0.016217712945148975,1.0,random
2016-06-16,0.008405845185869,0.8,random
2016-06-17,-0.015550277963740023,0.2,random
2016-06-20,-0.035172745124771844,0.0,random
2016-06-21,-0.035215720298718466,0.0,random
2016-06-22,-0.005206144999469342,0.6,random
2016-06-23,0.0015923353601693612,0.6,random
2016-06-24,0.034217529916704195,1.0,random
2016-06-27,0.04707088641410171,1.0,random
2016-06-28,0.02509159223318367,1.0,random
2016-06-29,-0.005957420668054159,0.6,random
2016-06-30,0.028295268164387453,1.0,random
2016-07-01,0.014742593415534322,0.6,random
2016-07-05,0.034912571615531005,1.0,random
2016-07-06,0.01746696283327496,1.0,random
2016-07-07,0.03288035863811305,1.0,random
2016-07-08,0.03179496124157204,1.0,random
2016-07-11,0.01571704552384188,0.6,random
2016-07-12,0.00962341464238079,0.8,random
2016-07-13,0.009221259078140287,0.6,random
2016-07-14,0.003932527656743878,0.4,random
