period,weeks,avg_picks_per_week,mean_excess_5d,hit_rate_excess
2015-2021 (in-sample),174,1.6091954022988506,0.0021234742333816384,0.5428160919540229
2022-2026 (out-of-sample),154,1.7662337662337662,0.004154703880705698,0.527056277056277
