week,start_date,mean_excess_5d,n_picks,cum_excess
2017-07-11/2017-07-17,,0.0,0.0,0.14560344887838617
2017-07-18/2017-07-24,,0.0,0.0,0.14560344887838617
2017-07-25/2017-07-31,,0.0,0.0,0.14560344887838617
2017-08-01/2017-08-07,2017-08-01,0.018028627410190068,2.0,0.16625710661804338
2017-08-08/2017-08-14,2017-08-08,0.0016553662165559313,1.0,0.1681876892321572
2017-08-15/2017-08-21,,0.0,0.0,0.1681876892321572
2017-08-22/2017-08-28,,0.0,0.0,0.1681876892321572
2017-08-29/2017-09-04,,0.0,0.0,0.1681876892321572
2017-09-05/2017-09-11,,0.0,0.0,0.1681876892321572
2017-09-12/2017-09-18,,0.0,0.0,0.1681876892321572
2017-09-19/2017-09-25,2017-09-19,-0.07858536729246712,1.0,0.07638523060730962
2017-09-26/2017-10-02,,0.0,0.0,0.07638523060730962
2017-10-03/2017-10-09,,0.0,0.0,0.07638523060730962
2017-10-10/2017-10-16,,0.0,0.0,0.07638523060730962
2017-10-17/2017-10-23,,0.0,0.0,0.07638523060730962
2017-10-24/2017-10-30,2017-10-24,0.038620415843049205,1.0,0.11795567582068034
2017-10-31/2017-11-06,2017-10-31,0.0173504108073624,3.0,0.1373526660605915
2017-11-07/2017-11-13,2017-11-07,-0.016032502488322997,1.0,0.11911805661187436
2017-11-14/2017-11-20,2017-11-14,-0.028829884124679017,1.0,0.08685401271791804
2017-11-21/2017-11-27,2017-11-21,0.00865188088206148,1.0,0.09625734417214393
2017-11-28/2017-12-04,,0.0,0.0,0.09625734417214393
2017-12-05/2017-12-11,,0.0,0.0,0.09625734417214393
2017-12-12/2017-12-18,2017-12-12,-0.008230063057209636,1.0,0.08723507710267797
2017-12-19/2017-12-25,,0.0,0.0,0.08723507710267797
2017-12-26/2018-01-01,,0.0,0.0,0.08723507710267797
2018-01-02/2018-01-08,,0.0,0.0,0.08723507710267797
2018-01-09/2018-01-15,2018-01-09,-0.005985365110947827,2.0,0.08072757820478893
2018-01-16/2018-01-22,2018-01-16,0.020241927656048486,2.0,0.10260358765870659
2018-01-23/2018-01-29,2018-01-23,0.04099938324333585,2.0,0.14780965471460306
2018-01-30/2018-02-05,2018-01-30,0.011262943509619205,2.0,0.16073737001544908
2018-02-06/2018-02-12,2018-02-06,-0.008004750422014761,1.0,0.1514459570629696
2018-02-13/2018-02-19,,0.0,0.0,0.1514459570629696
2018-02-20/2018-02-26,,0.0,0.0,0.1514459570629696
2018-02-27/2018-03-05,,0.0,0.0,0.1514459570629696
2018-03-06/2018-03-12,2018-03-06,0.00400308637361424,1.0,0.15605529468364154
2018-03-13/2018-03-19,2018-03-13,0.012278342635327066,2.0,0.17024973769715124
2018-03-20/2018-03-26,,0.0,0.0,0.17024973769715124
2018-03-27/2018-04-02,,0.0,0.0,0.17024973769715124
2018-04-03/2018-04-09,,0.0,0.0,0.17024973769715124
2018-04-10/2018-04-16,,0.0,0.0,0.17024973769715124
2018-04-17/2018-04-23,,0.0,0.0,0.17024973769715124
2018-04-24/2018-04-30,,0.0,0.0,0.17024973769715124
2018-05-01/2018-05-07,,0.0,0.0,0.17024973769715124
2018-05-08/2018-05-14,,0.0,0.0,0.17024973769715124
2018-05-15/2018-05-21,,0.0,0.0,0.17024973769715124
2018-05-22/2018-05-28,,0.0,0.0,0.17024973769715124
2018-05-29/2018-06-04,,0.0,0.0,0.17024973769715124
2018-06-05/2018-06-11,,0.0,0.0,0.17024973769715124
2018-06-12/2018-06-18,,0.0,0.0,0.17024973769715124
2018-06-19/2018-06-25,,0.0,0.0,0.17024973769715124
2018-06-26/2018-07-02,,0.0,0.0,0.17024973769715124
2018-07-03/2018-07-09,,0.0,0.0,0.17024973769715124
2018-07-10/2018-07-16,,0.0,0.0,0.17024973769715124
2018-07-17/2018-07-23,,0.0,0.0,0.17024973769715124
2018-07-24/2018-07-30,,0.0,0.0,0.17024973769715124
2018-07-31/2018-08-06,,0.0,0.0,0.17024973769715124
2018-08-07/2018-08-13,,0.0,0.0,0.17024973769715124
2018-08-14/2018-08-20,,0.0,0.0,0.17024973769715124
2018-08-21/2018-08-27,,0.0,0.0,0.17024973769715124
2018-08-28/2018-09-03,2018-08-28,0.0357052667899771,1.0,0.21203381679252864
2018-09-04/2018-09-10,,0.0,0.0,0.21203381679252864
2018-09-11/2018-09-17,,0.0,0.0,0.21203381679252864
2018-09-18/2018-09-24,,0.0,0.0,0.21203381679252864
2018-09-25/2018-10-01,,0.0,0.0,0.21203381679252864
2018-10-02/2018-10-08,,0.0,0.0,0.21203381679252864
2018-10-09/2018-10-15,,0.0,0.0,0.21203381679252864
2018-10-16/2018-10-22,,0.0,0.0,0.21203381679252864
2018-10-23/2018-10-29,,0.0,0.0,0.21203381679252864
2018-10-30/2018-11-05,,0.0,0.0,0.21203381679252864
2018-11-06/2018-11-12,,0.0,0.0,0.21203381679252864
2018-11-13/2018-11-19,2018-11-13,0.014527609470139535,1.0,0.22964177074749292
2018-11-20/2018-11-26,,0.0,0.0,0.22964177074749292
2018-11-27/2018-12-03,,0.0,0.0,0.22964177074749292
2018-12-04/2018-12-10,,0.0,0.0,0.22964177074749292
2018-12-11/2018-12-17,,0.0,0.0,0.22964177074749292
2018-12-18/2018-12-24,,0.0,0.0,0.22964177074749292
2018-12-25/2018-12-31,,0.0,0.0,0.22964177074749292
2019-01-01/2019-01-07,,0.0,0.0,0.22964177074749292
2019-01-08/2019-01-14,,0.0,0.0,0.22964177074749292
2019-01-15/2019-01-21,,0.0,0.0,0.22964177074749292
2019-01-22/2019-01-28,2019-01-22,-0.007961928775671367,3.0,0.21985145054921107
2019-01-29/2019-02-04,2019-01-29,0.003453603852673459,3.0,0.22406433421851735
2019-02-05/2019-02-11,2019-02-05,-0.012447638482338041,2.0,0.20882762390704146
2019-02-12/2019-02-18,2019-02-12,0.010644117021606725,1.0,0.2216945265948589
2019-02-19/2019-02-25,,0.0,0.0,0.2216945265948589
2019-02-26/2019-03-04,2019-02-26,0.008923778386571324,1.0,0.2325966578062788
2019-03-05/2019-03-11,,0.0,0.0,0.2325966578062788
2019-03-12/2019-03-18,,0.0,0.0,0.2325966578062788
2019-03-19/2019-03-25,,0.0,0.0,0.2325966578062788
2019-03-26/2019-04-01,,0.0,0.0,0.2325966578062788
2019-04-02/2019-04-08,2019-04-02,0.029521932531254347,1.0,0.2689852931762853
2019-04-09/2019-04-15,2019-04-09,-0.015467620276614191,1.0,0.24935711052482668
2019-04-16/2019-04-22,2019-04-16,0.03289686858187535,1.0,0.2904570472015935
2019-04-23/2019-04-29,2019-04-23,0.02317726565220224,1.0,0.3203663129973413
2019-04-30/2019-05-06,2019-04-30,-0.005059192740374918,1.0,0.3136863253319895
2019-05-07/2019-05-13,2019-05-07,0.013934384534106448,1.0,0.33199173574636265
2019-05-14/2019-05-20,,0.0,0.0,0.33199173574636265
2019-05-21/2019-05-27,,0.0,0.0,0.33199173574636265
2019-05-28/2019-06-03,,0.0,0.0,0.33199173574636265
2019-06-04/2019-06-10,,0.0,0.0,0.33199173574636265
2019-06-11/2019-06-17,,0.0,0.0,0.33199173574636265
2019-06-18/2019-06-24,,0.0,0.0,0.33199173574636265
2019-06-25/2019-07-01,,0.0,0.0,0.33199173574636265
2019-07-02/2019-07-08,,0.0,0.0,0.33199173574636265
2019-07-09/2019-07-15,,0.0,0.0,0.33199173574636265
2019-07-16/2019-07-22,2019-07-16,0.050518688107800136,1.0,0.39928221080670045
2019-07-23/2019-07-29,2019-07-23,-0.003495264248663865,1.0,0.3943913497214764
2019-07-30/2019-08-05,,0.0,0.0,0.3943913497214764
2019-08-06/2019-08-12,,0.0,0.0,0.3943913497214764
2019-08-13/2019-08-19,,0.0,0.0,0.3943913497214764
2019-08-20/2019-08-26,,0.0,0.0,0.3943913497214764
2019-08-27/2019-09-02,,0.0,0.0,0.3943913497214764
2019-09-03/2019-09-09,,0.0,0.0,0.3943913497214764
2019-09-10/2019-09-16,2019-09-10,-0.020877110530813647,1.0,0.36528048739013075
2019-09-17/2019-09-23,2019-09-17,0.010144713445366493,1.0,0.37913086670725393
2019-09-24/2019-09-30,,0.0,0.0,0.37913086670725393
2019-10-01/2019-10-07,,0.0,0.0,0.37913086670725393
2019-10-08/2019-10-14,,0.0,0.0,0.37913086670725393
2019-10-15/2019-10-21,,0.0,0.0,0.37913086670725393
2019-10-22/2019-10-28,,0.0,0.0,0.37913086670725393
2019-10-29/2019-11-04,2019-10-29,0.007648829569351497,3.0,0.3896796036605299
2019-11-05/2019-11-11,2019-11-05,-0.009160521319303606,5.0,0.37694941402419624
2019-11-12/2019-11-18,,0.0,0.0,0.37694941402419624
2019-11-19/2019-11-25,2019-11-19,-0.015553283126849116,1.0,0.35553332993652886
2019-11-26/2019-12-02,2019-11-26,-0.013815937585352489,1.0,0.3368053660552608
2019-12-03/2019-12-09,,0.0,0.0,0.3368053660552608
2019-12-10/2019-12-16,,0.0,0.0,0.3368053660552608
2019-12-17/2019-12-23,,0.0,0.0,0.3368053660552608
2019-12-24/2019-12-30,,0.0,0.0,0.3368053660552608
2019-12-31/2020-01-06,,0.0,0.0,0.3368053660552608
2020-01-07/2020-01-13,,0.0,0.0,0.3368053660552608
2020-01-14/2020-01-20,,0.0,0.0,0.3368053660552608
2020-01-21/2020-01-27,,0.0,0.0,0.3368053660552608
2020-01-28/2020-02-03,,0.0,0.0,0.3368053660552608
2020-02-04/2020-02-10,,0.0,0.0,0.3368053660552608
2020-02-11/2020-02-17,,0.0,0.0,0.3368053660552608
2020-02-18/2020-02-24,2020-02-18,-0.02911734759697132,2.0,0.2978811395423333
2020-02-25/2020-03-02,,0.0,0.0,0.2978811395423333
2020-03-03/2020-03-09,,0.0,0.0,0.2978811395423333
2020-03-10/2020-03-16,,0.0,0.0,0.2978811395423333
2020-03-17/2020-03-23,,0.0,0.0,0.2978811395423333
2020-03-24/2020-03-30,,0.0,0.0,0.2978811395423333
2020-03-31/2020-04-06,,0.0,0.0,0.2978811395423333
2020-04-07/2020-04-13,,0.0,0.0,0.2978811395423333
2020-04-14/2020-04-20,2020-04-14,0.0054953998556463105,5.0,0.3050135153692204
2020-04-21/2020-04-27,2020-04-21,0.004258663072265722,5.0,0.3105711282359309
2020-04-28/2020-05-04,2020-04-28,-0.005550972894561856,3.0,0.30329618342669784
2020-05-05/2020-05-11,2020-05-05,0.001250392264427802,4.0,0.30492581489271275
2020-05-12/2020-05-18,,0.0,0.0,0.30492581489271275
2020-05-19/2020-05-25,2020-05-19,-0.02767072267672348,5.0,0.2688175745551191
2020-05-26/2020-06-01,2020-05-26,-0.017761111597795587,1.0,0.24628196401620128
2020-06-02/2020-06-08,2020-06-02,0.07258045159128663,5.0,0.3367376717745729
2020-06-09/2020-06-15,2020-06-09,-0.038065774859603295,5.0,0.2858537165144517
2020-06-16/2020-06-22,2020-06-16,-0.02992071653978387,4.0,0.24738005195099522
2020-06-23/2020-06-29,2020-06-23,-0.0027235847998047236,2.0,0.24398270660192178
2020-06-30/2020-07-06,,0.0,0.0,0.24398270660192178
2020-07-07/2020-07-13,2020-07-07,0.01157793332110768,1.0,0.2583854554315699
2020-07-14/2020-07-20,2020-07-14,-0.0014918717485512545,1.0,0.2565081057218237
2020-07-21/2020-07-27,2020-07-21,-0.032145300357745654,1.0,0.21611727526145375
2020-07-28/2020-08-03,,0.0,0.0,0.21611727526145375
2020-08-04/2020-08-10,2020-08-04,-0.010945916824298352,1.0,0.20280575671784962
2020-08-11/2020-08-17,,0.0,0.0,0.20280575671784962
2020-08-18/2020-08-24,2020-08-18,0.043845271938571795,2.0,0.2555431022104233
2020-08-25/2020-08-31,2020-08-25,0.03829328060455269,3.0,0.3036219665344775
2020-09-01/2020-09-07,2020-09-01,-0.042353625793068866,4.0,0.2484088495882517
2020-09-08/2020-09-14,2020-09-08,0.022258838373587553,1.0,0.276196980395393
