week,start_date,mean_excess_5d,hit_rate_excess,n_picks
2016-01-05/2016-01-11,2016-01-08,-0.007024710695188707,0.4,5
2016-01-12/2016-01-18,2016-01-12,-0.019837481527857713,0.2,5
2016-01-19/2016-01-25,2016-01-19,0.010365162746011736,0.6,5
2016-01-26/2016-02-01,2016-01-26,-0.02574725987268711,0.0,1
2016-02-02/2016-02-08,2016-02-02,-0.030453842528376768,0.5,4
2016-02-09/2016-02-15,2016-02-09,0.03558307376111784,1.0,5
2016-02-16/2016-02-22,2016-02-16,0.024804341374586647,1.0,1
2016-03-08/2016-03-14,2016-03-08,0.003423450447054943,0.5,2
2016-03-29/2016-04-04,2016-03-29,-0.02506446917662497,0.0,1
2016-04-05/2016-04-11,2016-04-07,-0.032214508809164766,0.0,1
2016-04-12/2016-04-18,2016-04-12,-0.01682544706813438,0.0,1
2016-04-19/2016-04-25,2016-04-20,0.01055646244306585,1.0,1
2016-04-26/2016-05-02,2016-04-26,0.012573070640834294,0.75,4
2016-05-03/2016-05-09,2016-05-03,-0.017188937335570198,0.0,2
2016-05-10/2016-05-16,2016-05-13,0.07219700783168315,1.0,1
2016-05-17/2016-05-23,2016-05-17,-0.0008258996855279588,0.25,4
2016-06-14/2016-06-20,2016-06-14,0.015453455162384389,1.0,2
2016-06-21/2016-06-27,2016-06-27,-0.013236447994192279,0.2,5
2016-06-28/2016-07-04,2016-06-28,-0.019272329102775654,0.2,5
2016-07-05/2016-07-11,2016-07-07,0.01000180546904983,1.0,1
2016-07-26/2016-08-01,2016-07-26,-0.027410869200606314,0.0,1
2016-08-02/2016-08-08,2016-08-02,-0.013579600790484259,0.0,1
2016-08-16/2016-08-22,2016-08-19,0.0007636888464498393,1.0,1
2016-08-23/2016-08-29,2016-08-25,0.02417042508585865,1.0,1
2016-08-30/2016-09-05,2016-09-02,-0.0005573570273761375,0.0,1
2016-09-06/2016-09-12,2016-09-07,0.010892189066196156,1.0,1
2016-09-13/2016-09-19,2016-09-13,0.007246792421163728,0.8,5
2016-09-27/2016-10-03,2016-09-29,0.019424155984999025,0.5,2
2016-10-04/2016-10-10,2016-10-04,-0.00031469690014429563,0.0,1
2016-10-11/2016-10-17,2016-10-11,0.019547897862424946,1.0,2
2016-10-18/2016-10-24,2016-10-19,0.004142497460949339,0.6666666666666666,3
2016-10-25/2016-10-31,2016-10-25,-0.0005373502514139927,0.3333333333333333,3
2016-11-01/2016-11-07,2016-11-01,-0.008182208231947522,0.3333333333333333,3
2016-11-08/2016-11-14,2016-11-10,-0.006681405768369952,0.0,2
2016-11-15/2016-11-21,2016-11-15,-0.008758404518664683,0.3333333333333333,3
2016-11-22/2016-11-28,2016-11-22,-0.006650621276284463,0.0,2
2016-11-29/2016-12-05,2016-12-01,0.02359387541689073,1.0,3
2016-12-20/2016-12-26,2016-12-21,-0.0002727914421318811,0.0,1
2016-12-27/2017-01-02,2016-12-28,-0.01035542749716789,0.0,1
2017-01-03/2017-01-09,2017-01-04,0.005081139226157383,1.0,1
2017-01-10/2017-01-16,2017-01-10,-0.010946932111000285,0.0,1
2017-01-17/2017-01-23,2017-01-19,0.023222147413073935,1.0,2
2017-01-24/2017-01-30,2017-01-24,-0.004099780352404825,0.5,2
2017-01-31/2017-02-06,2017-01-31,-0.004747766727951852,0.0,2
2017-02-07/2017-02-13,2017-02-09,0.008924358609519123,1.0,1
2017-02-14/2017-02-20,2017-02-14,0.011261228088643271,1.0,2
2017-02-21/2017-02-27,2017-02-23,-0.02256717782618467,0.0,1
2017-02-28/2017-03-06,2017-02-28,-0.029241705269441587,0.0,1
2017-03-07/2017-03-13,2017-03-08,-0.0070469609510624975,0.3333333333333333,3
2017-03-14/2017-03-20,2017-03-14,0.019714999017307666,1.0,1
2017-03-21/2017-03-27,2017-03-21,-0.007755319669366656,0.5,2
2017-04-04/2017-04-10,2017-04-06,-0.039857724480176326,0.0,1
2017-04-11/2017-04-17,2017-04-13,-0.02035018694545454,0.0,1
2017-04-18/2017-04-24,2017-04-18,0.010560866484733533,0.5,2
2017-04-25/2017-05-01,2017-04-25,-0.013401917513848616,0.0,2
2017-05-02/2017-05-08,2017-05-02,-0.0007183537598445255,0.0,1
2017-05-09/2017-05-15,2017-05-09,0.007648508099735718,1.0,1
2017-05-16/2017-05-22,2017-05-16,0.016795543051743633,0.5,2
2017-05-23/2017-05-29,2017-05-23,-0.013032256841163159,0.0,1
2017-05-30/2017-06-05,2017-05-31,0.012229413609738504,1.0,1
2017-06-06/2017-06-12,2017-06-06,0.004537743559850149,1.0,1
2017-06-13/2017-06-19,2017-06-13,-0.0021236966892110485,0.3333333333333333,3
2017-06-20/2017-06-26,2017-06-20,0.023503618312241015,1.0,2
2017-06-27/2017-07-03,2017-06-27,0.0057635556193174065,0.5,2
2017-07-04/2017-07-10,2017-07-06,0.007538176607714664,0.75,4
2017-07-11/2017-07-17,2017-07-11,0.0003484072920418857,0.5,2
2017-07-18/2017-07-24,2017-07-19,-0.01649026849668367,0.0,1
2017-07-25/2017-07-31,2017-07-25,0.011242765215027983,0.6666666666666666,3
2017-08-01/2017-08-07,2017-08-01,-8.80842257601766e-05,0.5,2
2017-08-08/2017-08-14,2017-08-08,-0.048097817913759,0.0,1
2017-08-15/2017-08-21,2017-08-15,0.016753078425545964,1.0,1
2017-08-22/2017-08-28,2017-08-22,-0.00937364092823656,0.5,2
2017-08-29/2017-09-04,2017-08-29,-0.05129575177563295,0.0,1
2017-09-05/2017-09-11,2017-09-05,0.04486042339260399,1.0,1
2017-09-12/2017-09-18,2017-09-12,0.005836348673298519,1.0,1
