Date,mean_excess_5d,hit_rate_excess,n_picks
2016-02-01,0.03361041098494977,1.0,1
2016-02-04,0.024993230324685922,1.0,1
2016-02-05,-0.00984957941782838,0.0,1
2016-02-08,-0.03336834566749547,0.0,1
2016-02-09,-0.03240737751237277,0.0,2
2016-02-10,-0.017603431890419463,0.0,1
2016-02-11,-0.020220455477016896,0.0,1
2016-02-12,-0.024511424115734037,0.0,1
2016-02-16,-0.0074451445984108355,0.0,2
2016-02-17,-0.004669288046281139,0.5,4
2016-02-18,-0.016411429694930812,0.0,5
2016-02-19,-0.02359883933923493,0.0,4
2016-02-22,0.0009026172508206642,0.75,4
2016-02-23,0.003842241492615306,0.5,4
2016-02-24,0.0067663988228379894,0.6666666666666666,3
2016-02-25,0.01280443284621302,0.75,4
2016-02-26,-0.006257327134630897,0.5,2
2016-02-29,0.0003496960929350035,1.0,1
2016-03-01,0.003828363861999843,0.6666666666666666,3
2016-03-02,0.012016476378107516,0.75,4
2016-03-03,0.001496249319687143,0.5,4
2016-03-04,-0.002003377428510348,0.3333333333333333,3
2016-03-07,-0.0024345161059945884,0.6,5
2016-03-08,-0.001340035158415942,0.6,5
2016-03-09,0.007017103616742304,0.8,5
2016-03-10,0.015815943206937133,1.0,5
2016-03-11,0.024628081272490034,1.0,5
2016-03-14,0.03129060668494312,0.8,5
2016-03-15,0.027742814379001546,1.0,5
2016-03-16,0.008245685866535225,0.6,5
2016-03-17,0.004201472918227011,0.6,5
2016-03-18,-0.011668935844412021,0.2,5
2016-03-21,-0.007885725760996198,0.2,5
2016-03-22,-0.005496650161935767,0.6,5
2016-03-23,0.0011256524823416436,0.8,5
2016-03-24,-0.027159075192538795,0.3333333333333333,3
2016-03-28,-0.02002604317638279,0.25,4
2016-03-29,0.003835587738120716,0.6,5
2016-03-30,-0.005380431669165205,0.3333333333333333,3
2016-03-31,-0.018407438227911355,0.0,2
2016-04-01,-0.005474071144417725,0.0,2
2016-04-04,-0.007732089535736342,0.0,1
2016-04-05,-0.0059549799864664354,0.0,1
2016-04-06,0.015063766679719759,1.0,2
2016-04-07,0.01988996349345129,1.0,1
2016-04-08,0.017708219007509296,1.0,2
2016-04-11,0.004793299373960558,1.0,1
2016-04-12,-0.006214054029301641,0.0,1
2016-04-13,-0.005010082169838004,0.5,2
2016-04-14,-0.007588056971105761,0.5,2
2016-04-15,-0.021614030407769103,0.0,2
2016-04-18,-0.024509042892347177,0.0,2
2016-04-19,-0.012881714347157014,0.0,1
2016-04-20,-0.0320252783704465,0.0,2
2016-04-21,-0.03868496864351434,0.0,1
2016-04-29,0.024727486961025225,1.0,1
2016-05-02,-0.0073221202559451415,0.5,2
2016-05-03,0.0361869662578016,1.0,1
2016-05-04,0.055826414650267164,1.0,1
2016-05-05,0.08151743641896902,1.0,1
2016-05-06,0.058038485981505517,1.0,1
2016-05-09,0.04114995789024101,1.0,1
2016-05-10,0.006176101038963155,1.0,1
2016-05-11,-0.01442489488456744,0.0,1
2016-05-12,-0.015610833809517333,0.0,1
2016-05-13,0.03229376226203606,0.5,2
2016-05-16,0.02399696786283756,0.5,2
2016-05-17,0.028103302481496728,0.5,2
2016-05-18,0.007359540096657957,0.5,2
2016-05-19,0.010670771989443661,0.5,2
2016-05-20,0.0013086208868657856,0.5,2
2016-05-23,0.022250642033111778,1.0,2
2016-05-24,0.015258379064707617,1.0,2
2016-05-25,0.014792545187496805,0.6666666666666666,3
2016-05-26,0.0033272795813030775,0.6666666666666666,3
2016-05-27,-0.007186557989106002,0.5,2
2016-05-31,-0.017116178501064727,0.0,1
2016-06-01,-0.017315620277471355,0.0,2
2016-06-02,-0.00606520329984056,0.0,2
2016-06-03,-0.006175176699797613,0.0,4
2016-06-06,0.01157969099020112,0.5,2
2016-06-07,0.01080285599905606,0.5,2
2016-06-08,0.04730665613845508,1.0,1
2016-06-09,0.021081483973221515,1.0,1
2016-06-10,0.02815456424246776,1.0,1
2016-06-13,0.019334882539108533,1.0,1
2016-06-14,0.0063963683516223835,1.0,1
2016-06-15,-0.004429681400781149,0.0,1
2016-06-16,-0.0004897652687347875,0.0,1
2016-06-21,0.03844786538004219,1.0,1
2016-07-01,-0.021912940473584164,0.0,1
2016-07-05,-0.05013148205230489,0.0,1
2016-07-11,0.0041571526525356894,1.0,1
2016-07-12,0.007867559076411679,1.0,1
2016-07-13,0.01718630075178673,1.0,1
2016-07-14,-0.015232478451448261,0.0,3
2016-07-15,-0.0005059251646586752,0.3333333333333333,3
2016-07-18,0.006765791020363158,0.3333333333333333,3
2016-07-19,0.055518788531453644,1.0,1
2016-07-20,0.007545364429983548,0.5,2
2016-07-21,0.05330626422559415,1.0,1
2016-07-22,0.04500094696570567,1.0,1
2016-07-25,-0.0028644250944312557,0.2,5
2016-07-26,-0.01018109076442535,0.2,5
2016-07-27,-0.0067348837222481524,0.4,5
2016-07-28,0.006666488149215088,0.6,5
2016-07-29,0.01604160408145794,1.0,2
2016-08-01,0.022705088880167795,1.0,3
2016-08-02,0.02754295723253397,1.0,2
2016-08-03,0.02011621652701634,1.0,3
2016-08-04,0.015807107838505956,1.0,3
2016-08-05,0.02849299177830052,0.6666666666666666,3
2016-08-08,0.02304999125163724,0.6666666666666666,3
2016-08-09,0.035126951252618,1.0,2
2016-08-10,0.024854252126463416,1.0,2
2016-08-11,0.03924057818082982,1.0,1
2016-08-12,-0.012739245818892075,0.0,1
2016-08-15,-0.004747890668530097,0.0,1
2016-08-16,0.00031816983136701005,1.0,1
2016-08-17,0.015300280594817917,1.0,1
2016-08-18,-0.0038785610834777273,0.0,1
2016-08-19,-0.007191663126174086,0.5,2
2016-08-22,-0.011248036549713347,0.0,2
2016-08-23,-0.01883481354088451,0.0,2
2016-08-24,-0.007529331469023126,0.0,1
2016-09-01,-0.03857605516539153,0.0,1
2016-10-07,0.008533297365152478,0.3333333333333333,3
2016-10-10,0.012846928061191365,0.5,2
2016-10-11,0.005946437751615852,1.0,1
2016-10-26,-0.014197544302441245,0.0,1
2016-10-27,0.011930073556653542,1.0,1
2016-10-31,0.015354860437950757,1.0,1
2016-11-08,0.061036958402007846,1.0,1
2016-11-09,0.04987763605834106,1.0,2
2016-11-10,0.0077882768379984035,0.75,4
2016-11-11,0.010085733204834612,0.6,5
2016-11-14,-0.0008448847825250017,0.2,5
2016-11-15,0.00580462750303698,0.25,4
2016-11-16,0.009628969542598509,1.0,4
2016-11-17,0.0010762948107762387,0.3333333333333333,3
2016-11-18,-0.003767397425878357,0.0,3
2016-11-21,0.0022892887522287055,0.3333333333333333,3
2016-11-22,0.017124224480641076,0.75,4
2016-11-23,0.014586244398674425,0.75,4
2016-11-25,0.01674581676572955,0.8,5
2016-11-28,0.02793134766001365,0.5,4
2016-11-29,0.02952004218044919,0.6,5
2016-11-30,0.016713769491230622,0.6,5
2016-12-01,0.007184556920938889,0.6,5
2016-12-02,0.0026807898593486533,0.6,5
2016-12-05,-0.013972100847190073,0.2,5
2016-12-06,-0.013778836985002662,0.4,5
2016-12-07,-0.004315248660175253,0.6,5
2016-12-08,0.012212937290544046,0.8,5
2016-12-09,0.022691857572395113,0.6,5
2016-12-12,0.016012535612069462,1.0,3
2016-12-13,0.018657929556247416,1.0,3
2016-12-14,0.052259973175439844,1.0,2
2016-12-15,0.00555328350620049,0.5,2
2016-12-16,0.005687435902420601,1.0,1
